ShahZaM (Gold),401.34
sergej (Gold),399.05
DeadFox (Gold),396.75
RpK (Gold),395.99
dephh (Gold),392.93
Aerial (Gold),392.17
jkaem (Gold),357.00
AdreN (Gold),356.24
ANGE1 (Gold),349.36
Rickeh (Gold),310.37
kennyS (Gold),66027.60
s1mple (Gold),48020.63
DickStacy (Gold),41574.66
ZywOo (Gold),34521.71
NiKo (Gold),12845.30
arT (Gold),12485.24
Dima (Gold),12154.99
device (Gold),10920.38
f0rest (Gold),10791.95
electronic (Gold),10288.93
Lucky (Gold),9570.33
sdy (Gold),8646.86
RUSH (Gold),8607.87
Stewie2K (Gold),8314.32
Aleksib (Gold),8206.53
somebody (Gold),7802.89
XANTARES (Gold),7661.46
Ethan (Gold),7567.43
olofmeister (Gold),7416.07
Twistzz (Gold),7097.29
KSCERATO (Gold),6905.41
FalleN (Gold),6879.42
JW (Gold),6634.02
shox (Gold),6255.61
coldzera (Gold),6244.91
CeRq (Gold),6243.38
JaCkz (Gold),6037.74
GuardiaN (Gold),5926.89
dupreeh (Gold),5760.24
GeT_RiGhT (Gold),5717.43
Xyp9x (Gold),5692.20
gla1ve (Gold),5479.68
autimatic (Gold),5222.82
sterling (Gold),5192.24
Jame (Gold),5187.65
xccurate (Gold),5183.83
Golden (Gold),5008.01
rain (Gold),5004.18
Hobbit (Gold),5004.18
flusha (Gold),4923.91
allu (Gold),4856.64
Kaze (Gold),4626.54
NBK- (Gold),4608.95
jks (Gold),4608.95
ALEX (Gold),4525.63
apEX (Gold),4515.69
zhokiNg (Gold),4404.08
Boombl4 (Gold),4393.38
EliGE (Gold),4371.97
Summer (Gold),4368.91
Lekr0 (Gold),4352.09
TACO (Gold),4305.46
KrizzeN (Gold),4175.50
Brollan (Gold),4081.47
COLDYY1 (Gold),3890.36
dennis (Gold),3869.72
tabseN (Gold),3822.32
fer (Gold),3821.56
yuurih (Gold),3754.28
advent (Gold),3571.58
smooya (Gold),3544.82
tiziaN (Gold),3468.37
jR (Gold),3437.03
RpK (Gold),3361.35
Magisk (Gold),3343.00
kioShiMa (Gold),3335.36
BnTeT (Gold),3276.49
Aerial (Gold),3262.73
WorldEdit (Gold),3182.46
aumaN (Gold),3046.39
crush (Gold),3025.75
ANGE1 (Gold),2966.12
REZ (Gold),2950.07
n0thing (Gold),2895.02
VINI (Gold),2784.94
Freeman (Gold),2761.24
nitr0 (Gold),2752.07
Attacker (Gold),2708.49
gob b (Gold),2699.32
xseveN (Gold),2654.98
tonyblack (Gold),2611.41
hutji (Gold),2576.24
KRIMZ (Gold),2563.25
woxic (Gold),2551.78
DavCost (Gold),2503.62
S0tF1k (Gold),2503.62
ISSAA (Gold),2423.35
chopper (Gold),2411.12
FugLy (Gold),2402.71
AZR (Gold),2388.95
Brehze (Gold),2384.36
jkaem (Gold),2349.96
dexter (Gold),2340.02
twist (Gold),2318.62
Gratisfaction (Gold),2304.86
n0rb3r7 (Gold),2254.40
Zeus (Gold),2248.29
bodyy (Gold),2224.59
flamie (Gold),2220.77
sergej (Gold),2203.18
malta (Gold),2175.66
buster (Gold),2087.75
Liazz (Gold),2074.75
Edward (Gold),2063.29
erkaSt (Gold),1973.84
felps (Gold),1927.21
fitch (Gold),1916.51
NAF (Gold),1859.94
DeadFox (Gold),1828.60
Xizt (Gold),1727.69
AdreN (Gold),1680.29
daps (Gold),1661.18
ableJ (Gold),1609.96
ShahZaM (Gold),1524.34
Kvik (Gold),1515.93
dephh (Gold),1515.16
qikert (Gold),1502.93
Rickeh (Gold),1502.93
wayLander (Gold),1480.00
stanislaw (Gold),1470.83
AdreN (Gold),120038.58
niko (Gold) ,90077.67
s1mple (Gold),70125.90
NAF (Gold),70060.15
kennyS (Gold),64115.67
bondik (Gold),59364.52
device (Gold),40072.49
Dosia (Gold),40033.50
sdy (Gold),38936.49
somebody (Gold),35530.03
XANTARES (Gold),31152.71
ropz (Gold),30054.17
captainMo (Gold),28132.31
pashaBiceps (Gold),28022.99
DD (Gold),27222.59
tonyblack (Gold),23041.73
electronic (Gold),19855.44
gla1ve (Gold),19147.55
tabseN (Gold),19147.55
Stewie2K (Gold),17415.27
olofmeister (Gold),16566.72
olofmeister (Gold),16566.72
smooya (Gold),15877.17
NiKo (Gold),15537.75
FalleN (Gold),15413.14
Magisk (Gold),15006.44
Xyp9x (Gold),14621.15
Nifty (Gold),13926.25
EliGE (Gold),13207.66
Hobbit (Gold),12638.13
REZ (Gold),12424.84
dupreeh (Gold),12021.21
JW (Gold),12012.03
NEO (Gold),10802.65
karrigan (Gold),10660.46
oskar (Gold),10008.37
MSL (Gold),9938.04
BnTeT (Gold),9603.97
coldzera (Gold),9603.97
Rickeh (Gold),9591.74
mou (Gold),9516.82
tarik (Gold),9292.83
TACO (Gold),9240.08
k0nfig (Gold),9216.39
GuardiaN (Gold),9015.33
v4lde (Gold),9014.57
RUSH (Gold),9007.69
Edward (Gold),8791.34
shox (Gold),8591.82
f0rest (Gold),8402.23
cadiaN (Gold),8266.92
flamie (Gold),8208.06
crush (Gold),8175.95
nitr0 (Gold),7915.27
Skadoodle (Gold),7813.59
GeT_RiGhT (Gold),7505.51
fer (Gold),7396.96
JUGi (Gold),7310.57
Boombl4 (Gold),6937.51
draken (Gold),6729.58
Kjaerbye (Gold),6727.29
woxic (Gold),6446.73
chrisJ (Gold),6374.10
Calyx (Gold),6211.27
jks (Gold),6134.06
tiziaN (Gold),6001.81
autimatic (Gold),5852.74
xccurate (Gold),5777.82
byali (Gold),5760.24
Hiko (Gold),5336.73
SmithZz (Gold),5227.41
jkaem (Gold),5178.48
flusha (Gold),5149.43
STYKO (Gold),5037.05
Snax (Gold),5008.01
SicK (Gold),5008.01
dennis (Gold),5004.18
Lekr0 (Gold),4873.46
Zeus (Gold),4863.52
suNny (Gold),4858.17
AZR (Gold),4802.36
yay (Gold),4790.90
paz (Gold),4758.03
nex (Gold),4540.92
Dima (Gold),4477.47
bodyy (Gold),4466.76
Ex6TenZ (Gold),4368.91
cajunb (Gold),4321.52
Golden (Gold),4263.42
aizy (Gold),4197.67
chopper (Gold),4053.19
gob b (Gold),4005.03
vice (Gold),3976.74
DavCost (Gold),3917.88
mir (Gold),3915.58
jR (Gold),3873.54
snatchie (Gold),3836.08
hutji (Gold),3654.14
ANDROID (Gold),3643.44
KRIMZ (Gold),3569.28
ISSAA (Gold),3566.99
MICHU (Gold),3452.32
ShahZaM (Gold),3203.10
S0tF1k (Gold),3174.82
MAJ3R (Gold),3068.56
ngiN (Gold),3002.05
jmqa (Gold),2959.24
Snappi (Gold),2907.26
dephh (Gold),2871.33
ANGE1 (Gold),2819.34
Kvik (Gold),2784.18
gade (Gold),2698.56
waterfaLLZ (Gold),2684.80
USTILO (Gold),2664.92
Xizt (Gold),2611.41
balblna (Gold),2556.37
DeadFox (Gold),2480.68
COLDYY1 (Gold),2435.58
stanislaw (Gold),2317.85
Twistzz (Gold),NoRecentP
NiKo (Gold),132488.66
kennyS (Gold),131906.14
ScreaM (Gold),125914.26
Boombl4 (Gold),123078.86
LUCAS1 (Gold),122714.21
jks (Gold),110280.95
ropz (Gold),80241.30
Lekr0 (Gold),79401.15
EliGE (Gold),76370.05
